na nb nc nd la lb lc ld ja jb jc jd ma mb mc md   coul_dir         coul_ex          br_dir           br_ex            total
 7  8  7  7  0  0  1  1  1  1  1  3  1  1  1  1   0.89003958E-02  -0.13463186E-02  -0.11500460E-05   0.87261894E-06   0.75537998E-02
 7  8  7  7  0  0  1  1  1  1  1  3  1 -1  1 -1   0.89003958E-02  -0.13463186E-02  -0.11500460E-05   0.87261894E-06   0.75537998E-02
 7  8  7  7  0  0  1  1  1  1  1  3  1 -1 -1  1  -0.89003958E-02   0.13463186E-02   0.11500460E-05  -0.87261894E-06  -0.75537998E-02
 7  8  7  7  0  0  1  1  1  1  3  3 -1  1  1 -1   0.54347625E-02   0.10869525E-01  -0.69862292E-06  -0.13655084E-05   0.16302223E-01
 7  8  7  7  0  0  1  1  1  1  3  3 -1 -1  1 -3   0.94132848E-02  -0.94132848E-02  -0.11550795E-05   0.11550795E-05   0.42964919E-18
 7  8  7  7  0  0  1  1  1  1  3  3  1 -1  1 -1  -0.10869525E-01  -0.54347625E-02   0.13655084E-05   0.69862292E-06  -0.16302223E-01
 8  8  8  8  0  0  0  0  1  1  1  1  1 -1  1 -1   0.16354308E+00   0.00000000E+00   0.68735560E-07   0.13747112E-06   0.16354329E+00
 8  8  7  7  1  1  1  1  1  1  1  1  1 -1  1 -1   0.73923006E-02   0.00000000E+00   0.93408014E-07   0.18681603E-06   0.73925808E-02
 8  8  7  7  1  1  1  1  1  1  1  3  1 -1  1 -1   0.00000000E+00   0.00000000E+00  -0.13109513E-07   0.13109513E-07   0.00000000E+00
 8  8  7  7  1  1  1  1  1  1  1  3  1 -1 -1  1   0.00000000E+00   0.00000000E+00   0.13109513E-07  -0.13109513E-07   0.00000000E+00
 8  8  7  7  1  1  1  1  1  1  3  3  1 -1  1 -1  -0.26380082E-02  -0.39570124E-02  -0.12941911E-06  -0.17893086E-06  -0.65953289E-02
 8  8  7  8  1  1  1  1  1  1  1  1  1 -1  1 -1   0.32099764E-02   0.00000000E+00   0.15100035E-07   0.30200069E-07   0.32100217E-02
 7  8  7  7  1  1  1  1  3  1  1  3  3 -1  1  1   0.10352825E-02   0.00000000E+00   0.14595764E-07   0.32633784E-07   0.10353298E-02
 8  8  7  8  1  1  1  1  1  1  1  1 -1  1 -1  1   0.32099764E-02   0.00000000E+00   0.15100035E-07   0.30200069E-07   0.32100217E-02
 8  8  7  8  1  1  1  1  1  1  3  1 -1  1 -1  1   0.00000000E+00   0.00000000E+00   0.71059875E-08  -0.71059875E-08   0.00000000E+00
